name,domain,company_size,location,year_founded,website
MEDINIS Eduphygital Basaveshwara Engineering College.,Education Industry,,"Bagalkote, Karnataka, India",2015,https://eduphygital.com
Agraja Builders & Developers,Construction & Engineering,,"Dakshina Kannada, Karnataka, India",2008,https://agrajabuilders.com/
Gully System Pvt Ltd,IT Industry,,"Bangalore Rural, Karnataka, India",2021,https://www.gullysystem.com
JustBreathe - Beinnature Consultancy Pvt Ltd,Manufacturing,,"Bengaluru Urban, Karnataka, India",2019,https://www.justbreathe.in/
Creo IT Private Limited,IT Industry,,"Shimoga, Karnataka, India",2010,https://www.creoit.com/
Gopalan Aerospace India Pvt.Ltd,Manufacturing,,"Bangalore Rural, Karnataka, India",2015,https://www.gopalanaerospace.com/about-us.html
Ciqur24 LLC (CYBWK PVT LTD),IT Industry,,"Bengaluru Urban, Karnataka, India",2022,https://ciqur24.com/
ATHARV ASSOCIATES,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2019,
Snipe Tech Pvt Ltd,IT Industry,,"Bengaluru Urban, Karnataka, India",2009,https://www.snipe.co.in/
BluePixel IT Services,IT Industry,,"vijayapura, Karnataka, India",2025,
Pragyan SmartAI Technology LLP,IT Industry,,"Bangalore Rural, Karnataka, India",2021,https://www.pragyanai.com
BrightGeeks Technologies PVT.LTD.,IT Industry,,"Bangalore Rural, Karnataka, India",2021,https://brightgeeks.in/
Young Mind Creations Technologies Pvt Ltd,IT Industry,,"Bengaluru Urban, Karnataka, India",2001,https://www.ymctechno.com
Everyneed Logistics Private Limited,Travel & Tourism,,"Bangalore Rural, Karnataka, India",2025,https://everyneedlogistics.com
Purpledata Technologies Private Limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://www.cloudinvent.co/
SkillXAcademy,IT Industry,,"Bangalore Rural, Karnataka, India",2025,https://www.skillxacademy.org/
Cloud Institution,Education Industry,,"Bengaluru Urban, Karnataka, India",2024,https://cloudinstitution.com/
Cyber Lancers Pvt Ltd,IT Industry,,"Mysuru, Karnataka, India",2022,https://cyberlancers.in
Off-Look Innovations,IT Industry,,"Bengaluru Urban, Karnataka, India",2023,https://www.off-look-innovations.com/
Vrisharya Technologies Pvt Ltd,Education Industry,,"Udupi, Karnataka, India",2023,https://vrisharyatechnologies.com/
SWIZOSOFT (OPC) PRIVATE LIMITED,Education Industry,,"Mangalore, Karnataka, India",2024,https://www.swizosoft.com
Mitra Softwares,IT Industry,,"Shimoga, Karnataka, India",2014,https://mitrasoftwares.in
BIISM,Not Specified,,"Bangalore Rural, Karnataka, India",2025,https://www.biism.ind.in/
Ashtaksha Labs Private Limited,IT Industry,,"Bangalore Rural, Karnataka, India",2023,https://ashtakshalabs.com/
GOVERNMENT TOOL ROOM AND TRAINING CENTRE- GTTC KALABURAGI,Manufacturing,,"Kalaburagi, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
Genalnstein LLP,Education Industry,,"Bengaluru Urban, Karnataka, India",2025,https://genainstein.com/
SleepMed Solutions Pvt Ltd,Health Care. Fitness & Recreation,,"Bengaluru Urban, Karnataka, India",2023,https://sleepmedsolutions.in/
Planotech Events & Marketing OPC Pvt Ltd,Media & Entertainment,,"Bangalore Rural, Karnataka, India",2019,https://planotechevents.com/
"Dash hydraulics Pvt Ltd.,",Not Specified,,"Bangalore Rural, Karnataka, India",1994,www.dashhydraulics.com
Visil Tech,Manufacturing,,"Chennai, Tamil Nadu, India",2020,https://www.visiltech.in
GLOREYE,E-commerce,,"Bengaluru Urban, Karnataka, India",2024,https://gloreye.in/
GLOBAL MEDITECH,Manufacturing,,"Bengaluru Urban, Karnataka, India",2017,
SHADES ASSOCIATES,Construction & Engineering,,"Kochi, Kerala, India",2000,https://shadesassociates.com
Focus Electronic Services,Manufacturing,,"Bengaluru Urban, Karnataka, India",2009,http://focuselectronicservices.com/english/index.html
Nesara Consulting Engineers Pvt Ltd,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2019,https://ncenesara.com
Madhupushpa Technologies Pvt Ltd,IT Industry,,"Bengaluru Urban, Karnataka, India",2024,https://madhupushpatechnologies.com
Sihi IT Solutions,IT Industry,,"Bengaluru Urban, Karnataka, India",2020,https://sihiitsolutions.com/
CHITRAGUPTA URBAN TECHNOLOGIES PRIVATE LIMITED,IT Industry,,"Indore, Madhya Pradesh, India",2024,https://chitragupta.co
Bdgtronix,IT Industry,,"Bangalore Rural, Karnataka, India",2016,https://bdgtronix.com/
Appzoy Technologies Pvt. Ltd.,Not Specified,,"Bangalore Rural, India",2013,https://www.appzoy.com
Bytonix IT Solutions LLP,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://bytonix.in
S G B Design Solutions,IT Industry,,"Bengaluru Urban, Karnataka, India",2021,
OM SAI VENTURES,Government sector,,"Bengaluru Urban, Karnataka, India",2003,
SmartBridge,Not Specified,,"Bangalore Rural, Karnataka, India",2020,https://www.thesmartbridge.com/
Singularity Automobiles Private limited,Construction & Engineering,,"Dakshina Kannada, Karnataka, India",2022,https://singularityautomobiles.com/
METAQODE TECHNOLOGIES PRIVATE LIMITED,IT Industry,,"Chitradurga, Karnataka, India",2025,https://metaqode.co.in/
USMANIYA INTERNATIONAL,Travel & Tourism,,"Chitradurga, Karnataka, India",2009,
Ramaiah Academy Foundation,Education Industry,,"Bengaluru Urban, Karnataka, India",2025,https://www.ramaiahacademy.com
Intellectaflow LLP,Education Industry,,"Mangalore, Karnataka, India",2025,https://gyanthinkflow.com
Trinity Electrical Industries,Manufacturing,,"Bengaluru Urban, Karnataka, India",1997,https://www.trinityelectricals.com
Sunshine Technologies,Manufacturing,,"Bengaluru Urban, Karnataka, India",2009,
Tech Magify LLP,IT Industry,,"Mumbai, Maharashtra, India",2019,https://www.techmagify.com
SMPS ELECTRIC CONTROL Pvt. Ltd.,Manufacturing,,"Bangalore Rural, Karnataka, India",2021,http://www.scientificwork.in
Zryth Solutions Pvt. Ltd.,IT Industry,,"Agra, Uttar Pradesh, India",2025,https://zryth.com
FutureAcad,IT Industry,,"Bangalore Rural, Karnataka, India",2022,https://futureacad.com/
Nelvian Solutions,IT Industry,,"Udupi, Karnataka, India",2022,https://www.nelvian.com/
YourStory Media,Media & Entertainment,,"Bengaluru Urban, Karnataka, India",2008,
Sproox Software Solution (OPC) private limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2023,
Government Tool Room & Training Centre Yadgir,Manufacturing,,"Yadagiri, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
Karnataka German Technical Training Institutes (KGTTI) Mysuru,Education Industry,,"Mysuru, Karnataka, India",2022,https://www.kgtti.com
SGC Services,Education Industry,,"Bengaluru Urban, Karnataka, India",2016,https://www.sgcservices.in/index.php
Prajnan Software Pvt. Ltd.,IT Industry,,"Bengaluru Urban, Karnataka, India",2024,https://www.prajnansoftwares.com/
Government Tool Room & Training Centre Chikodi,Manufacturing,,"Belagavi, Karnataka, India",1972,https://gttc.karnataka.gov.in/page/GTTC%20Centres/Chikodi/en
KiboX Innovations,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://www.kiboxinnovations.com
ECO GREEN THEORY AGROTECH LLP,Manufacturing,,"Mysuru, Karnataka, India",2024,https://www.ecogreenagrotech.com/
Samvardhane technologies private limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2002,https://www.cxforall.com/samvardhane/index.html
buildAhome,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2016,https://www.buildahome.in/
Innovant IT Solutions,IT Industry,,"Shimoga, Karnataka, India",2016,https://innovantitsolutions.in/
INCERD,IT Industry,,"Bengaluru Urban, Karnataka, India",2017,https://incerd.in/
Government Tool Room & Training Centre Kudalasangama,Manufacturing,,"Bagalkote, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
NCN Technologies,Manufacturing,,"Bengaluru Urban, Karnataka, India",1989,https://ncntechnologies.com
NIVANSYS TECHNOLOGIES,IT Industry,,"Bengaluru Urban, Karnataka, India",2023,http://nivansys.in
Global Logica Software Technologies,IT Industry,,"Bengaluru Urban, Karnataka, India",2009,https://globallogica.com
VPA Technologies,Not Specified,,"Bangalore Rural, Karnataka, India",2024,www.vpatechnologies.in
cantercadd kalaburagi,Education Industry,,"Kalaburagi, Karnataka, India",2004,https://www.cantercadd.com/institute/Kalaburagi-centre
Code Saffron,IT Industry,,"Shimoga, Karnataka, India",2025,https://codesaffron.com/
Netpy Technologies,IT Industry,,"Bangalore Rural, Karnataka, India",2024,https://netpy.in/
Government Tool Room & Training Centre-GOKAK,Manufacturing,,"Belagavi, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
IntrnForte Private Limited,Education Industry,,"Bengaluru Urban, Karnataka, India",2022,https://intrnforte.com/
EizBiz Private Limted,IT Industry,,"Hubli, Karnataka, India",2025,https://eizbiz.com
Torsecure Cyber LLP,IT Industry,,"Mangalore, Karnataka, India",2023,https://www.torsecure.com
Khatabook (operated by Kyte Technologies),Finances,,"Bengaluru Urban, Karnataka, India",2018,https://khatabook.com/
Addere Creations Pvt Ltd,Manufacturing,,"Bengaluru Urban, Karnataka, India",2023,https://www.adderecreations.com/
kanprokagno innovation private limited,IT Industry,,"Visakhapatnam, Andhra Pradesh, India",2024,https://www.prokagno.co.in
Bangalore Aircraft Industries Pvt Ltd,Education Industry,,"Bangalore Rural, Karnataka, India",2008,https://www.bailindia.com/
Interiors By Ranjani (IBR Designs),Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2013,https://ibrdesigns.com/
TSIAR SPORTS PRIVATE LIMITED,Health Care. Fitness & Recreation,,"Mysuru, Karnataka, India",2024,https://tsiar.com/
WINNER DESIGN SOLUTIONS LLP,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2019,https://winnerdesignsolutions.in/
TECHNOTHARANGA SOLUTIONS PRIVATE LIMITED,IT Industry,,"Tumkur, Karnataka, India",2019,https://technotharanga.com/
I TECH TOOLING,Manufacturing,,"Pune, Maharashtra, India",2014,
Cittagent Technologies Pvt. Ltd.,IT Industry,,"Bengaluru Urban, Karnataka, India",2018,http://www.cittagent.com
SustivonAI Pvt Ltd,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://www.sustivon.com
CADMAXX EDTECH PVT LTD,Education Industry,,"Bangalore Rural, Karnataka, India",2004,https://cadmaxxedtech.com/
"Machine Learning for Advanced Process Control Lab - CPS Enabled, MIT Manipal",Education Industry,,"Udupi, Karnataka, India",2023,https://itarasu.com
CASHUTEC NIRMITHI KENDRA,Government sector,,"Raichur, Karnataka, India",2003,
CLOSOFT TECHNOLOGIES PRIVATE LIMITED,Manufacturing,,"Bengaluru Urban, Karnataka, India",2020,https://clo-soft.com/
PYLABSEDU TECHNOLOGY,IT Industry,,"Bengaluru Urban, Karnataka, India",2026,https://www.pylabsedu.org/
IMOD LEARNING PRIVATE LIMITED,Education Industry,,"Mandya, Karnataka, India",2019,https://hprlfc.courses.store/
CloudFrame Technologies,IT Industry,,"Belagavi, Karnataka, India",2024,https://cloudframetechnologies.com
OptimusLogic Systems India Private Limited,Telecom Industry,,"Bangalore Rural, Karnataka, India",2013,https://www.optimusrhino.com
M M CONSTRUCTION,Construction & Engineering,,"Mangalore, Karnataka, India",1995,https://mmconstructions.in/
GOVERNMENT TOOL ROOM AND TRAINING CENTRE (GTTC)- KOPPAL,Manufacturing,,"Koppal, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
Akshayakalpa Farms And Foods Pvt Ltd,Not Specified,,"Bangalore Rural, Karnataka, India",2010,www.akshayakalpa.org
INDIAFIX SOLUTIONS PRIVATE LIMITED,IT Industry,,"Bangalore Rural, Karnataka, India",2025,https://fixidu.com
Vulcan Learning Collective LLP,IT Industry,,"Dakshina Kannada, Karnataka, India",2024,https://vulcans.co.in/
"Centre of Excellence in Design (D-CoE), Indian Institute of Science (IISc)",Not Specified,,"Bangalore Rural, Karnataka, India",2024,https://dcoeiisc.com/
Lotus Construction,Construction & Engineering,,"Dakshina Kannada, Karnataka, India",2015,https://lotusproperties.co.in
Chandana IT Solutions,IT Industry,,"Mysuru, Karnataka, India",2024,https://www.chandanaitsolutions.com/
Yuktara SoftTech LLP,IT Industry,,"Mysuru, Karnataka, India",2025,https://yuktara.in/
HMT Machine Tools Limited,Not Specified,,India,1953,
Konigtronics (OPC) Private Limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2016,https://konigtronics.com/
DESIGNUS,Manufacturing,,"Mysuru, Karnataka, India",2011,https://designus.co.in/
Mew Technology,Not Specified,,"Bangalore Rural, Karnataka, India",2022,https://mewtech.in/
A B ERAPPA,Construction & Engineering,,"kodagu, Karnataka, India",2019,
MAVIXY,IT Industry,,"Bangalore Rural, Karnataka, India",2024,https://www.mavixy.com/
FerroPulse Technology Solution Private Limited,Travel & Tourism,,"Bengaluru Urban, Karnataka, India",2025,https://ferropulse.com
GOVERNMENT TOOL ROOM AND TRAINING CENTRE - HUMNABAD,Manufacturing,,"Bidar, Karnataka, India",1972,https://gttc.karnataka.gov.in
NEW VISION CADD TRAINING CENTRE,Education Industry,,"Shimoga, Karnataka, India",2019,https://newvisioncadd.com
SHRI KAMAKSHI & CO,Manufacturing,,"Gadag, Karnataka, India",2021,
Keoch IT Solutions Private Limited,IT Industry,,"Kalaburagi, Karnataka, India",2019,https://keoch.in/
100x - INDISQUAD R&D INDIA PRIVATE LIMITED,IT Industry,,"Ahmedabad, Gujarat, India",2025,https://100x.inc/
Eduphygital - Global Academy of Technology,Education Industry,,"Bangalore Rural, Karnataka, India",2015,https://www.eduphygital.com
VTU Centre of Excellence - Entuple Technologies Pvt. Ltd.,IT Industry,,"Belagavi, Karnataka, India",2010,https://www.abhiyantha.com/
"NANO ORGANIC ELECTRONICS &amp; EARTH'S FIELD NMR LAB (NOEL-EFNMR LAB), AIET, MOODBIDRI",Not Specified,,India,2017,https://www.aiet.org.in/department2/physics/
AIFYMIND Software Solutions,IT Industry,,"Bangalore Rural, Karnataka, India",2016,https://aifymind.com/
Rv college of engineering,Education Industry,,"Bengaluru Urban, Karnataka, India",1963,https://rvce.edu.in/
Samika Training Hub,Education Industry,,"Bangalore Rural, Karnataka, India",2025,https://www.samikatraininghub.com
Venturebiz Promotions Private Limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://www.venturebiz.in
Vinncraft Software Pvt Ltd,IT Industry,,"Bengaluru Urban, Karnataka, India",2024,https://www.vinncraft.com
LST RGINNOTECH PVT LTD,IT Industry,,"Bengaluru Urban, Karnataka, India",2024,https://lstrginnotech.org/
Blugate Software Technologies Pvt. Ltd.,IT Industry,,"Bengaluru Urban, Karnataka, India",2010,https://www.blugate-soft.com
Digital Dreams Institute of Technology,IT Industry,,"vijayapura, Karnataka, India",2024,https://digitaldreamsinstitutetech.com
4G5G Consultants Pvt. Ltd,Telecom Industry,,"Belagavi, Karnataka, India",2020,https://4g5gconsultants.com/
SHANKARANARAYANA CONSTRUCTIONS PRIVATE LIMITED,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",1960,https://ssncindia.co.in
Huegli Tech engineering pvt Ltd,Manufacturing,,"Bengaluru Urban, Karnataka, India",2017,https://www.huegli-tech.com/
Ascend Career,Education Industry,,"Bengaluru Urban, Karnataka, India",2023,
"Navodaya Institute of Technology - Raichur, ECE Research Center",Not Specified,,"Karnataka, India",2008,https://www.navodayaengineering.edu.in/
upGrad Education Private Limited,Education Industry,,"Mumbai, Maharashtra, India",2015,https://upgrad.com/
Centre of Excellence - Software Testing,IT Industry,,"Bangalore Rural, Karnataka, India",2023,https://www.rrce.org/center-of-excellence-ise/
IRA MAGNETIX PRIVATE LIMITED,Manufacturing,,"Hassan, Karnataka, India",2025,https://imxpl.com
ITIE Knowledge Solutions,Health Care. Fitness & Recreation,,"Bangalore Rural, Karnataka, India",2007,https://itie.in/
Scapaa Technologies (OPC) Private Limited,Education Industry,,"Bengaluru Urban, Karnataka, India",2025,https://www.quazaredu.com
AB Nexus,Finances,,"Bengaluru Urban, Karnataka, India",2017,https://abnexus.com/
Saara IT Solutions Private Limited,IT Industry,,"Udupi, Karnataka, India",2012,https://saarasolutions.com
VEDANT DEVELOPERS AND BUILDERS,Construction & Engineering,,"Belagavi, Karnataka, India",2023,
DIGITALTRANSOLS AI PRIVATE LIMITED,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://digitransolutions.in
Biotecnika Info Labs Pvt Ltd,Education Industry,,"Bengaluru Urban, Karnataka, India",2011,https://www.biotecnika.org/
Nirmith AI Labs,IT Industry,,"Bangalore Rural, Karnataka, India",2025,https://nirmithai.com/
HPS BIM Institute,Construction & Engineering,,"Bengaluru Urban, Karnataka, India",2023,https://hpsbimins.com/index.php
Aryan Exports India Inc,E-commerce,,"Bengaluru Urban, Karnataka, India",2024,
CONTENTRIBUTOR,IT Industry,,"Bengaluru Urban, Karnataka, India",2021,https://www.contentributor.com
Sumeru Global Support Solutions Private Limited,Not Specified,,"Bangalore Rural, India",2017,https://sumeruglobal.in/
Vision Flow Technologies,IT Industry,,"Mangalore, Karnataka, India",2025,https://www.visionflowtech.com/
GOVT TOOL ROOM & TRAINING CENTRE TUMKUR,Government sector,,"Tumkur, Karnataka, India",1972,https://gttc.karnataka.gov.in/en
Manyathy Business Solutions LLP,IT Industry,,"Bangalore Rural, Karnataka, India",2016,https://manyathy.in
CMTI -Construction Management Training Institute Pvt Limited,Construction & Engineering,,"Bangalore Rural, Karnataka, India",2018,https://www.cmti.co.in/
iTekPackz,Manufacturing,,"Bengaluru Urban, Karnataka, India",2013,https://itekpackz.com/
Thought Process Systems LLP,IT Industry,,"Bengaluru Urban, Karnataka, India",2016,https://www.thoughtprocess.co.in/
MEDINIS Eduphygital-Vtu Mysuru,Education Industry,,"Mysuru, Karnataka, India",2015,https://eduphygital.com
Ideal Workforce Staffing Solutions Pvt Ltd,Manufacturing,,"Bangalore Rural, Karnataka, India",2004,https://www.idealworkforce.co.in
Linkzie Technologies Private Limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2020,https://linkzie.in
WINSUN GLOBAL TECH PVT LTD,IT Industry,,"Bangalore Rural, Karnataka, India",2021,https://winsunglobaltech.com/
CyberI Infotech Private Limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2024,https://cyberiinfotech.com
Power Rays,"Marketing, Advertising, Sales",,"Bangalore Rural, Karnataka, India",2018,www.powerrays.in
GS FABRICATORS,Manufacturing,,"Bengaluru Urban, Karnataka, India",1988,https://www.gsfabricatorsblr.com/
SeedlingLabs Private Limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://www.seedlinglabs.com
Alar Innovations Pvt Ltd,IT Industry,,"Hubli, Karnataka, India",2023,https://alarinnovations.com/
Sceen,IT Industry,,"Bangalore Rural, Karnataka, India",2024,https://sceen.me
Pivotr,IT Industry,,"Bengaluru Urban, Karnataka, India",2024,https://www.pivotr.in/
St Joseph Engineering College,Not Specified,,"Hubli, Karnataka, India",2002,https://sjec.ac.in/
AY Labs,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://aylabs.in/
LIVE GREEN,Health Care. Fitness & Recreation,,"Tumkur, Karnataka, India",2015,https://livegreenindia.com/
Mugrody Constructions,Construction & Engineering,,"Mangalore, Karnataka, India",1996,https://mugrody.com/
J J Constructions,Construction & Engineering,,"Nagpur, Maharashtra, India",2004,https://jjconstruction.co.in/
NTTF Dharwad,Education Industry,,"Dharwad, Karnataka, India",1964,http://www.nttftrg.com
Green Concept Enginnering Consultant. Private Limited,Construction & Engineering,,"Mangalore, Karnataka, India",2024,https://greencec.ae/
ALLER TECHNOLOGIES PRIVATE LIMITED,IT Industry,,"Kalaburagi, Karnataka, India",2021,https://aller.in/
KodNest Technologies Pvt Ltd,Education Industry,,"Bengaluru Urban, Karnataka, India",2019,https://www.kodnest.com
Kshipani Tech Ventures Private Limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,
Besant Technologies (A Unit of BDreamz Global Solutions Pvt),Education Industry,,"Bengaluru Urban, Karnataka, India",2015,https://www.besanttechnologies.com/
SAHYNEX TECHSOLUTIONS PRIVATE LIMITED,Media & Entertainment,,"Mangalore, Karnataka, India",1996,
NYXSES INDIA PRIVATE LIMITED,IT Industry,,"Bengaluru Urban, Karnataka, India",2016,https://www.nyxses.com
Hiland Realty Pvt Ltd,"Marketing, Advertising, Sales",,"Bengaluru Urban, Karnataka, India",2007,https://hilandrealty.com
Navikshaa Technologies,IT Industry,,"Bengaluru Urban, Karnataka, India",2025,https://www.navikshaa.com/
Aspire Techsoft Private Limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2011,https://aspireit.net/
CHROMED BIOSCIENCE PRIVATE LIMITED,Health Care. Fitness & Recreation,,"Tumkur, Karnataka, India",2021,https://chromedbio.com/
Vyom-Ni Solutions LLP,IT Industry,,"Mangalore, Karnataka, India",2025,https://vyom-ni.com/
Synthesis Winding Technologies Pvt. Ltd.,Manufacturing,,"Bengaluru Urban, Karnataka, India",2000,https://synthesis-winding.com/
Tarun Soft Pvt. Limited,IT Industry,,"Bangladesh, Bangladesh, Bangladesh",2023,https://www.tarunsoft.com
Unidemy Global Private Limited,IT Industry,,"Bengaluru Urban, Karnataka, India",2021,https://unidemyglobal.com/
Impactite global solutions,IT Industry,,"Bengaluru Urban, Karnataka, India",2020,https://impactitegs.com/
Centre of Excellence Digital Forensics Intelligence,IT Industry,,"Mangalore, Karnataka, India",2018,https://sahyadri.edu.in/CoE-DFICS
